;Original name;Russian name;Year;Country;Genre;Director;Actors
0;The Wolf of Wall Street;«Волк с Уолл-стрит»;2013;США;драма, криминал, биография;Мартин Скорсезе;Леонардо ДиКаприо, Джона Хилл, Марго Робби
1;Rocky;«Рокки»;1976;США;драма, спорт;Джон Г. Эвилдсен;Сильвестр Сталлоне, Талия Шайр, Берт Янг
2;The Karate Kid;«Парень-каратист»;1984;США;драма, спорт, семейный;Джон Г. Эвилдсен;Ральф Маччио, Пэт Морита, Элизабет Шу
3;Good Will Hunting;«Умница Уилл Хантинг»;1997;США;драма, мелодрама;Гас Ван Сент;Мэтт Дэймон, Робин Уильямс, Бен Аффлек
4;8 Mile;«Восьмая миля»;2002;США;драма, музыка;Кёртис Хэнсон;Эминем, Ким Бейсингер, Бриттани Мерфи
5;The Princess Bride;«Принцесса-невеста»;1987;США;фэнтези, мелодрама, приключения;Роб Райнер;Кэри Элвес, Мэнди Пэтинкин, Крис Сарандон
6;Forrest Gump;«Форрест Гамп»;1994;США;драма, комедия, мелодрама;Роберт Земекис;Том Хэнкс, Робин Райт, Салли Филд
7;Mary Poppins;«Мэри Поппинс»;1964;США;мюзикл, фэнтези, комедия;Роберт Стивенсон;Джули Эндрюс, Дик Ван Дайк, Дэвид Томлинсон
8;Mad Max: Fury Road;«Безумный Макс: Дорога ярости»;2015;Австралия;боевик, фантастика, приключения;Джордж Миллер;Том Харди, Шарлиз Терон, Николас Холт
9;The Godfather;«Крестный отец»;1972;США;драма, криминал;Фрэнсис Форд Коппола;Марлон Брандо, Аль Пачино, Джеймс Каан
10;Moonlight;«Лунный свет»;2016;США;драма;Барри Дженкинс;Алекс Р. Хибберт, Эштон Сандерс, Треванте Роудс
11;Brokeback Mountain;«Горбатая гора»;2005;США, Канада;вестерн, мелодрама, драма;Энг Ли;Хит Леджер, Джейк Джилленхол, Рэнди Куэйд
12;Jaws;«Челюсти»;1975;США;триллер, ужасы, приключения;Стивен Спилберг;Рой Шайдер, Роберт Шоу, Ричард Дрейфусс
13;In the Heat of the Night;«Душной южной ночью»;1967;США;драма, криминал, детектив;Норман Джуисон;Сидни Пуатье, Род Стайгер, Уоррен Оутс
14;Iron Man;«Железный человек»;2008;США, Канада;фантастика, боевик, приключения;Джон Фавро;Роберт Дауни мл., Джефф Бриджес, Гвинет Пэлтроу
15;Mean Girls;«Дрянные девчонки»;2004;США, Канада;комедия;Марк Уотерс;Линдси Лохан, Рэйчел Макадамс, Лиззи Каплан
16;Parasite;«Паразиты»;2019;Корея Южная;драма, триллер, комедия;Пон Джун-хо;Сон Кан-хо, Ли Сон-гюн, Чо Ё-джон
17;Save the Tiger;«Спасите тигра»;1973;США;драма;Джон Г. Эвилдсен;Джек Леммон, Джек Гилфорд, Лори Хейнеман
18;12 Angry Men;«12 разгневанных мужчин»;1956;США;драма, детектив, криминал;Сидни Люмет;Генри Фонда, Мартин Болсам, Ли Дж. Кобб
19;Roma;«Рома»;2018;Мексика, США;драма;Альфонсо Куарон;Ялица Апарисио, Марина Де Тавира, Диего Кортина Отри
20;Selma;«Сельма»;2014;Великобритания, Франция, США;драма, биография, история;Ава ДюВерней;Дэвид Ойелоуо, Кармен Эджого, Том Уилкинсон
21;Ghostbusters;«Охотники за привидениями»;1984;США;фантастика, фэнтези, боевик;Айвен Райтман;Билл Мюррей, Дэн Эйкройд, Сигурни Уивер
22;Days of Heaven;«Дни жатвы»;1978;США;драма, мелодрама;Терренс Малик;Ричард Гир, Брук Эдамс, Сэм Шепард
