title,author,country,genre
1984,Джордж Оруэлл,,роман-
Джейн Эйр,Шарлотта Бронте,,
Гарри Поттер и Кубок огня,Джоан Роулинг,,
Винни Пух,Алан Александр Милн,,
Уловка-22,Джозеф Хеллер,,
"Лев, колдунья и платяной шкаф",Клайв Стэйплз Льюис,,
Грозовой перевал,Эмили Бронте,,
Убить пересмешника,Харпер Ли,,
Гордость и предубеждение,Джейн Остин,,
Мандолина капитана Корелли,Луи де Берньер,,
Автостопом по галактике,Дуглас Адамс,,", "
Тёмные начала,Филип Пулман,,
Санта-Хрякус,Терри Пратчетт,,
Маленькие женщины,Луиза Мэй Олкотт,,
Король былого и грядущего,Теренс Уайт,,
Большие надежды,Чарльз Диккенс,,автобиографический 
Очень голодная гусеница,Эрик Карл,, в картинках
Цветы на чердаке,Вирджиния Эндрюс,,"Готический ужас, драма"
Хрупкое равновесие,Рохинтон Мистри,,
Ведьмы за границей,Терри Пратчетт,,
Заклинатель лошадей,Николас Эванс,,
Ужастики,Роберт Лоуренс Стайн,,", "
Война миров,Герберт Уэллс,,
Мужчина и мальчик,Тони Парсонс,,
Правда,Терри Пратчетт,,
Сыновья и любовники,Дэвид Герберт Лоуренс,,
На игле,Ирвин Уэлш,,
Хайди,Иоганна Спири,,
Невыносимая лёгкость бытия,Милан Кундера,,
Дневник незначительного лица,Джордж,,
Сила единства,Брайс Кортни,,
Дитя из чемодана,Жаклин Уилсон,,
Война и мир,Лев Толстой,,
Сайлес Марнер,Джордж Элиот,,
Приключения Оливера Твиста,Чарльз Диккенс,,
Маленький принц,Антуан де Сент-Экзюпери,,
Американский психопат,Брет Истон Эллис,,
Чайка по имени Джонатан Ливингстон,Ричард Бах,,
Девочка-находка,Жаклин Уилсон,,
Изумительный мистер Лис,Роальд Даль,,
Мир Софии,Юстейн Гордер,,
Имя розы,Умберто Эко,,
Лолита,Владимир Набоков,,", "
Они играли на траве,Терри Венейблс,,
Старик и море,Эрнест Хемингуэй,,
Паутина Шарлотты,Элвин Брукс Уайт,,
Девчонки гуляют допоздна,Жаклин Уилсон,,
Ведьмы,Роальд Даль,,", "
Далёкие шатры,Мэри Маргарет Кей,,
"Франкенштейн, или Современный Прометей",Мэри Шелли,,", "
Лорна Дун,Ричард Блэкмор,,
Песнь на закате,Льюис Грессик Гиббон,,
Властелин колец,Джон Р. Р. Толкин,,
Мир глазами Гарпа,Джон Ирвинг,,
Корабельные новости,Энни Пру,,
Божество реки,Уилбур Смит,,
Чужестранка,Диана Гэблдон,,", "
Моби Дик,Герман Мелвилл,,
Ким,Редьярд Киплинг,,
Серебряный меч,Иэн Серрайе,,
Секреты,Жаклин Уилсон,,
Пролетая над гнездом кукушки,Кен Кизи,,
Искупление,Иэн Макьюэн,,
